Birth Rate,CO2 Emissions,Country,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,Cluster Category
0.01,2582.0,Malta,5119621569,0.082,1074,0.006,0.3,0.059,81,76,0.7,0.185,0.691,0.123,398582,0.932,869000000,238000000,Cluster 2
0.012,4290.0,Moldova,1980901554,0.083,46,0.021,0.1,0.193,72,64,0.1,0.208,0.683,0.108,3612874,0.455,79000000,118000000,Cluster 2
0.012,175041.0,Netherlands,538312641084,0.098,3249,0.005,0.6,0.03,81,76,0.8,0.186,0.676,0.138,16225302,0.803,14603000000,15887000000,Cluster 2
0.012,42625.0,Norway,224880794328,0.106,5220,0.004,0.8,0.047,82,77,0.9,0.199,0.653,0.148,4564855,0.772,2989000000,7089000000,Cluster 2
0.009,304856.0,Poland,216800888642,0.062,354,0.007,0.2,0.073,79,71,0.5,0.174,0.696,0.13,38204570,0.617,4733000000,3286000000,Cluster 2
0.01,95940.0,Romania,59466017706,0.053,146,0.021,0.1,0.254,75,68,0.3,0.166,0.691,0.143,21574326,0.529,523000000,572000000,Cluster 2
0.01,1604973.0,Russian Federation,430347770733,0.056,167,0.017,0.1,0.13,72,59,0.2,0.162,0.705,0.134,144667468,0.734,5879000000,13427000000,Cluster 2
0.01,39494.0,Slovak Republic,45837416479,0.058,360,0.009,0.4,0.085,78,70,0.7,0.179,0.706,0.116,5373374,0.559,876000000,662000000,Cluster 2
0.009,15500.0,Slovenia,29152072068,0.086,1263,0.004,0.3,0.108,81,73,0.9,0.147,0.703,0.15,1995733,0.507,1427000000,805000000,Cluster 2
0.011,54781.0,Sweden,314713404153,0.093,3277,0.003,0.8,0.048,82,78,1.0,0.179,0.649,0.172,8958229,0.842,6548000000,9375000000,Cluster 2
0.01,40205.0,Switzerland,334574926429,0.109,5002,0.004,0.7,0.033,83,78,0.8,0.168,0.676,0.156,7339001,0.734,10493000000,8614000000,Cluster 2
